matternumber,mattername,invoiceid,firmname,fees,invstatus,datepaid,receivedate,begperiod,endgperiod,invdate,itemnumber,itemdate,fullname,taskcode,task,rate,hours,netamount,description,state,itemtype,disbcode,tklevel,mattertype,mattersubtype,attorney,status,opendate,closedate,trialdate,team_lead,judge,courttype,trial,plaintiff,county,disposition,dispdate,case_length,length_bucket,rate_bucket,phase,assigned_council,opposing_council
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,11,1/12/2016,Timekeeper-1,CodeA,TaskA,175,1.8,315,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 11,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,12,1/12/2016,Timekeeper-1,CodeA,TaskA,175,0.6,105,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 12,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,13,1/12/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 13,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,14,1/12/2016,Timekeeper-1,CodeA,TaskA,175,1.2,210,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 14,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,15,1/12/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 15,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L210,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,16,1/20/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 16,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L230,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,17,1/22/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 17,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,18,1/23/2016,Timekeeper-1,CodeA,TaskA,175,0.4,70,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 18,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,19,1/23/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 19,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,20,1/23/2016,Timekeeper-1,CodeA,TaskA,175,0.2,35,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 20,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,21,1/29/2016,Timekeeper-1,CodeA,TaskA,175,0.1,17.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 21,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,22,2/2/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 22,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,23,2/3/2016,Timekeeper-1,CodeA,TaskA,175,0.3,52.5,this is a description.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 23,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,1,Firm-1,1505,Paid,4/22/2015,4/8/2015,1/6/2015,3/31/2015,3/31/2015,24,1/12/2016,,CodeA,TaskA,,,32.92,this is a description.,TX,expense,E112,,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 24,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,,,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,2,Firm-2,218.7,Paid,5/15/2015,4/24/2015,2/5/2015,3/31/2015,4/18/2015,1,2/5/2016,Timekeeper-2,CodeB,TaskB,63,1.9,119.7,I had to visit the office on the weekend.,TX,hours,NA,Legal Assistant,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 25,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,0-100,L653,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,2,Firm-2,218.7,Paid,5/15/2015,4/24/2015,2/5/2015,3/31/2015,4/18/2015,2,2/23/2016,Timekeeper-3,CodeB,TaskB,165,0.6,99,I had to visit the office on the weekend.,TX,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 26,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L654,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,1,2/23/2016,Timekeeper-1,CodeB,TaskB,175,0.3,52.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 27,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L110,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,2,2/23/2016,Timekeeper-1,CodeB,TaskB,175,0.5,87.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 28,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,3,2/23/2016,Timekeeper-1,CodeB,TaskB,175,0.3,52.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 29,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L120,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,4,2/24/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 30,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,5,2/24/2016,Timekeeper-1,CodeB,TaskB,175,0.5,87.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 31,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,6,2/24/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 32,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,7,2/24/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 33,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,8,2/27/2016,Timekeeper-1,CodeB,TaskB,175,0.1,17.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 34,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,9,2/27/2016,Timekeeper-1,CodeB,TaskB,175,0.1,17.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 35,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,10,2/27/2016,Timekeeper-1,CodeB,TaskB,175,0.1,17.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 36,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,11,2/27/2016,Timekeeper-1,CodeB,TaskB,175,0.1,17.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 37,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,12,3/1/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 38,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,13,3/1/2016,Timekeeper-1,CodeB,TaskB,175,1.5,262.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 39,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,14,3/2/2016,Timekeeper-1,CodeB,TaskB,175,0.3,52.5,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 40,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,15,3/6/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 41,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,16,3/6/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 42,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,17,3/12/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 43,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L160,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,18,3/23/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 44,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L430,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,19,3/23/2016,Timekeeper-1,CodeB,TaskB,175,0.2,35,I had to visit the office on the weekend.,TX,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 45,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,151-200,L430,Timekeeper-1,Tim Harden
Matter-1,Sergio v. Ronaldo,3,Firm-1,980,Paid,5/29/2015,5/19/2015,2/23/2015,5/19/2015,5/19/2015,20,3/6/2016,,CodeB,TaskB,,,2.06,I had to visit the office on the weekend.,TX,expense,NA,,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,7/7/2015,,teamlead,Judge 46,State,Jury,0,Webb,Settled w/o EC payment,3/10/2016,186,181-365,,,Timekeeper-1,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,3,1/6/2016,Timekeeper-4,CodeB,TaskB,195,0.6,117,I had to visit the office on the weekend.,IN,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 47,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L120,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,4,1/8/2016,Timekeeper-5,CodeB,TaskB,195,0.1,19.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 48,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L320,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,9,1/9/2016,Timekeeper-5,CodeB,TaskB,195,0.4,78,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 49,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L160,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,6,1/9/2016,Timekeeper-5,CodeB,TaskB,195,0.5,97.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 50,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L210,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,7,1/9/2016,Timekeeper-5,CodeB,TaskB,195,0.3,58.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 51,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L210,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,8,1/9/2016,Timekeeper-5,CodeB,TaskB,195,0.3,58.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 52,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L210,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,10,1/9/2016,Timekeeper-5,CodeB,TaskB,195,0.4,78,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 53,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L430,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,5,1/9/2016,Timekeeper-4,CodeB,TaskB,195,0.3,58.5,I had to visit the office on the weekend.,IN,hours,NA,Partner,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 54,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L160,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,11,1/14/2016,Timekeeper-5,CodeB,TaskB,195,0.1,19.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 55,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L320,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,13,1/22/2016,Timekeeper-5,CodeB,TaskB,195,0.1,19.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 56,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L120,Timekeeper-4,Tim Harden
Matter-2,John v. Smith,4,Firm-3,2883.5,Paid,4/7/2015,3/31/2015,1/1/2015,2/28/2015,3/26/2015,12,1/22/2016,Timekeeper-5,CodeB,TaskB,195,0.1,19.5,I had to visit the office on the weekend.,IN,hours,NA,Associate,Litigation Section,Litigation,Tim Sull,Closed,1/2/2015,10/16/2015,,teamlead,Judge 57,State,Jury,0,Hidalgo,Settled w/o EC payment,2/6/2016,287,181-365,151-200,L430,Timekeeper-4,Tim Harden
